Date,S&P 500,% of S&P 500 members above their 200 dma
2/3/2016,1912.53,28.28
2/4/2016,1915.45,29.29
2/5/2016,1880.05,24.85
2/8/2016,1853.44,22.22
2/9/2016,1852.21,22.83
2/10/2016,1851.86,23.43
2/11/2016,1829.08,20.61
2/12/2016,1864.78,25.25
2/16/2016,1895.58,28.08
2/17/2016,1926.82,32.53
2/18/2016,1917.83,30.91
2/19/2016,1917.78,31.11
2/22/2016,1945.5,35.96
2/23/2016,1921.27,33.54
2/24/2016,1929.8,34.55
2/25/2016,1951.7,36.97
2/26/2016,1948.05,37.37
2/29/2016,1932.23,35.96
3/1/2016,1978.35,43.03
3/2/2016,1986.45,44.44
3/3/2016,1993.4,47.17
3/4/2016,1999.99,48.79
3/7/2016,2001.76,50.91
3/8/2016,1979.26,45.86
3/9/2016,1989.26,47.88
3/10/2016,1989.57,47.88
3/11/2016,2022.19,55.35
3/14/2016,2019.64,55.76
3/15/2016,2015.93,53.24
3/16/2016,2027.22,56.68
3/17/2016,2040.59,58.91
3/18/2016,2049.58,61.34
3/21/2016,2051.6,60.32
3/22/2016,2049.8,60.32
3/23/2016,2036.71,56.68
3/24/2016,2035.94,55.78
3/28/2016,2037.05,56.59
3/29/2016,2055.01,59.03
3/30/2016,2063.95,61.62
3/31/2016,2059.74,62.02
4/1/2016,2072.78,64.11
4/4/2016,2066.13,63.31
4/5/2016,2045.17,58.06
4/6/2016,2066.66,62.1
4/7/2016,2041.91,58.67
4/8/2016,2047.6,61.29
4/11/2016,2041.99,60.36
4/12/2016,2061.72,63.18
4/13/2016,2082.42,67.2
4/14/2016,2082.78,66.6
4/15/2016,2080.73,67
4/18/2016,2094.34,68.61
4/19/2016,2100.8,71.54
4/20/2016,2102.4,73.15
4/21/2016,2091.48,72.75
4/22/2016,2091.58,73.95
4/25/2016,2087.79,72.95
4/26/2016,2091.7,76.15
4/27/2016,2095.15,77.76
4/28/2016,2075.81,72.95
4/29/2016,2065.3,70.14
5/2/2016,2081.43,73.09
5/3/2016,2063.37,68.54
5/4/2016,2051.12,65.53
5/5/2016,2050.63,64.93
5/6/2016,2057.14,66.73
5/9/2016,2058.69,66.73
5/10/2016,2084.39,70.14
5/11/2016,2064.46,67.13
5/12/2016,2064.11,66.47
5/13/2016,2046.61,64.33
5/16/2016,2066.66,66.13
5/17/2016,2047.21,64.53
5/18/2016,2047.63,65.93
5/19/2016,2040.04,64.13
5/20/2016,2052.32,68.74
5/23/2016,2048.04,66.13
5/24/2016,2076.06,71.14
5/25/2016,2090.54,74.35
5/26/2016,2090.1,73.15
5/27/2016,2099.06,74.95
5/31/2016,2096.96,75.15
6/1/2016,2099.33,74.75
6/2/2016,2105.26,76.75
6/3/2016,2099.13,73.75
6/6/2016,2109.41,75.35
6/7/2016,2112.13,75.95
6/8/2016,2119.12,77.15
6/9/2016,2115.48,74.75
6/10/2016,2096.07,70.94
6/13/2016,2079.06,70.14
6/14/2016,2075.32,67.94
6/15/2016,2071.5,68.74
6/16/2016,2077.99,68.74
6/17/2016,2071.22,69.14
6/20/2016,2083.25,70.54
6/21/2016,2088.9,70.88
6/22/2016,2085.45,70.48
6/23/2016,2113.32,74.1
6/24/2016,2037.41,62.12
6/27/2016,2000.54,53.51
6/28/2016,2036.09,59.12
6/29/2016,2070.77,64.33
6/30/2016,2098.86,68.94
7/1/2016,2102.95,68.47
7/5/2016,2088.55,65.06
7/6/2016,2099.73,66.06
7/7/2016,2097.9,66.27
7/8/2016,2129.9,71.08
7/11/2016,2137.16,72.29
7/12/2016,2152.14,74.1
7/13/2016,2152.43,74.9
7/14/2016,2163.75,76.91
7/15/2016,2161.74,77.11
7/18/2016,2166.89,77.51
7/19/2016,2163.78,77.31
7/20/2016,2173.02,78.31
7/21/2016,2165.17,78.11
7/22/2016,2175.03,79.52
7/25/2016,2168.48,79.12
7/26/2016,2169.18,78.92
7/27/2016,2166.58,77.91
7/28/2016,2170.06,77.71
7/29/2016,2173.6,77.31
8/1/2016,2170.84,74.9
8/2/2016,2157.03,73.49
8/3/2016,2163.79,76.15
8/4/2016,2164.25,74.55
8/5/2016,2182.87,78.96
8/8/2016,2180.89,80.16
8/9/2016,2181.74,78.36
8/10/2016,2175.49,78.16
8/11/2016,2185.79,79.96
8/12/2016,2184.05,79.56
8/15/2016,2190.15,80.96
8/16/2016,2178.15,79.16
8/17/2016,2182.22,79.96
8/18/2016,2187.02,80.36
8/19/2016,2183.87,81.56
8/22/2016,2182.64,81.56
8/23/2016,2186.9,82.36
8/24/2016,2175.44,81.96
8/25/2016,2172.47,80.56
8/26/2016,2169.04,78.76
8/29/2016,2180.38,80.36
8/30/2016,2176.12,79.76
8/31/2016,2170.95,78.8
9/1/2016,2170.86,79.4
9/2/2016,2179.98,80
9/6/2016,2186.48,81
9/7/2016,2186.16,80.76
9/8/2016,2181.3,79.8
9/9/2016,2127.81,71
9/12/2016,2159.04,76.6
9/13/2016,2127.02,70.8
9/14/2016,2125.77,69.2
9/15/2016,2147.26,72.2
9/16/2016,2139.16,71.8
9/19/2016,2139.12,72.8
9/20/2016,2139.76,70.4
9/21/2016,2163.12,74.2
9/22/2016,2177.18,77.2
9/23/2016,2164.69,74.4
9/26/2016,2146.1,72.6
9/27/2016,2159.93,74.6
9/28/2016,2171.37,76.2
9/29/2016,2151.13,73.8
9/30/2016,2168.27,76.2
10/3/2016,2161.2,73.8
10/4/2016,2150.49,69.2
10/5/2016,2159.73,70.8
10/6/2016,2160.77,70.66
10/7/2016,2153.74,68.46
10/10/2016,2163.66,71.26
10/11/2016,2136.73,64.07
10/12/2016,2139.18,66.07
10/13/2016,2132.55,66.07
10/14/2016,2132.98,64.27
10/17/2016,2126.5,63.87
10/18/2016,2139.6,65.74
10/19/2016,2144.29,67.33
10/20/2016,2141.34,65.54
10/21/2016,2141.16,64.54
10/24/2016,2151.33,66.93
10/25/2016,2143.16,63.75
10/26/2016,2139.43,62.15
10/27/2016,2133.04,58.57
10/28/2016,2126.41,59.96
10/31/2016,2126.15,61.95
11/1/2016,2111.72,56.77
11/2/2016,2097.94,53.69
11/3/2016,2088.66,54.49
11/4/2016,2085.18,53.29
11/7/2016,2131.52,60.68
11/8/2016,2139.56,62.67
11/9/2016,2163.26,63.87
11/10/2016,2167.48,62.28
11/11/2016,2164.45,62.08
11/14/2016,2164.2,63.27
11/15/2016,2180.39,66.47
11/16/2016,2176.94,64.27
11/17/2016,2187.12,67.47
11/18/2016,2181.9,65.47
11/21/2016,2198.18,68.46
11/22/2016,2202.94,68.66
11/23/2016,2204.72,68.46
11/25/2016,2213.35,70.66
11/28/2016,2201.72,68.06
11/29/2016,2204.66,68.06
11/30/2016,2198.81,64.27
12/1/2016,2191.08,61.88
12/2/2016,2191.95,61.6
12/5/2016,2204.71,63.8
12/6/2016,2212.23,65.4
12/7/2016,2241.35,69.6
12/8/2016,2246.19,70.4
12/9/2016,2259.53,70.4
12/12/2016,2256.96,71
12/13/2016,2271.72,72.6
12/14/2016,2253.28,69
12/15/2016,2262.03,69.2
12/16/2016,2258.07,68.8
12/19/2016,2262.53,69
12/20/2016,2270.76,69.8
12/21/2016,2265.18,68.2
12/22/2016,2260.96,66.6
12/23/2016,2263.79,67.4
12/27/2016,2268.88,67.66
12/28/2016,2249.92,64.67
12/29/2016,2249.26,66.87
12/30/2016,2238.83,64.47
1/3/2017,2257.83,67.27
1/4/2017,2270.75,70.66
1/5/2017,2269,69.46
1/6/2017,2276.98,70.86
1/9/2017,2268.9,69.32
1/10/2017,2268.9,69.32
1/11/2017,2275.32,69.72
1/12/2017,2270.44,69.52
1/13/2017,2274.64,69.72
1/17/2017,2267.89,71.12
1/18/2017,2271.89,70.92
1/19/2017,2263.69,68.92
1/20/2017,2271.31,69.72
1/23/2017,2265.2,68.53
1/24/2017,2280.07,71.12
1/25/2017,2298.37,71.71
1/26/2017,2296.68,70.92
1/27/2017,2294.69,68.53
1/30/2017,2280.9,68.33
1/31/2017,2278.87,69.92
2/1/2017,2279.55,67.93
2/2/2017,2280.85,70.52
2/3/2017,2297.42,71.71
2/6/2017,2292.56,70.52
2/7/2017,2293.08,70.92
2/8/2017,2294.67,72.11
2/9/2017,2307.87,75.1
2/10/2017,2316.1,76.1
2/13/2017,2328.25,77.09
2/14/2017,2337.58,77.49
2/15/2017,2349.25,79.68
2/16/2017,2347.22,78.88
2/17/2017,2351.16,78.88
2/21/2017,2365.38,82.27
2/22/2017,2362.82,80.28
2/23/2017,2363.81,79.88
2/24/2017,2367.34,82.47
2/27/2017,2369.75,82.04
2/28/2017,2363.64,81.47
3/1/2017,2395.96,83.86
3/2/2017,2381.92,82.07
3/3/2017,2383.12,81.87
3/6/2017,2375.31,80.28
3/7/2017,2368.39,78.69
3/8/2017,2362.98,75.1
3/9/2017,2364.87,76.1
3/10/2017,2372.6,76.29
3/13/2017,2373.47,77.05
3/14/2017,2365.45,76.45
3/15/2017,2385.26,80.44
3/16/2017,2381.38,79.28
3/17/2017,2378.25,80.28
3/20/2017,2373.47,79.88
3/21/2017,2344.02,77.09
3/22/2017,2348.45,77.29
3/23/2017,2345.96,77.69
3/24/2017,2343.98,76.69
3/27/2017,2341.59,76.49
3/28/2017,2358.57,78.49
3/29/2017,2361.13,79.68
3/30/2017,2368.06,79.08
3/31/2017,2362.72,79.32
4/3/2017,2358.84,77.73
4/4/2017,2360.16,78.49
4/5/2017,2352.95,77.49
4/6/2017,2357.49,78.88
4/7/2017,2355.54,78.88
4/10/2017,2357.16,80.08
4/11/2017,2353.78,79.68
4/12/2017,2344.93,79.28
4/13/2017,2328.95,75.1
4/17/2017,2349.01,77.29
4/18/2017,2342.19,75.9
4/19/2017,2338.17,75.5
4/20/2017,2355.84,77.29
4/21/2017,2348.69,76.49
4/24/2017,2374.15,78.49
4/25/2017,2388.61,79.28
4/26/2017,2387.45,78.69
4/27/2017,2388.77,78.29
4/28/2017,2384.2,75.9
5/1/2017,2388.33,75.1
5/2/2017,2391.17,75.7
5/3/2017,2388.13,73.71
5/4/2017,2389.52,72.51
5/5/2017,2399.29,75.5
5/8/2017,2399.38,74.9
5/9/2017,2396.92,74.5
5/10/2017,2399.63,74.7
5/11/2017,2394.44,72.91
5/12/2017,2390.9,72.31
5/15/2017,2402.32,73.9
5/16/2017,2400.67,71.12
5/17/2017,2357.03,67.93
5/18/2017,2365.72,67.33
5/19/2017,2381.73,69.92
5/22/2017,2394.02,71.71
5/23/2017,2398.42,72.11
5/24/2017,2404.39,71.71
5/25/2017,2415.07,72.51
5/26/2017,2415.82,71.71
5/30/2017,2412.91,71.12
5/31/2017,2411.8,70.52
6/1/2017,2430.06,73.11
6/2/2017,2439.07,73.51
6/5/2017,2436.1,72.11
6/6/2017,2429.33,71.31
6/7/2017,2433.14,71.51
6/8/2017,2433.79,71.71
6/9/2017,2431.77,72.71
6/12/2017,2429.39,75.5
6/13/2017,2440.35,76.49
6/14/2017,2437.92,75.7
6/15/2017,2432.46,74.45
6/16/2017,2433.15,74.65
6/19/2017,2453.46,75.3
6/20/2017,2437.03,72.51
6/21/2017,2435.61,72.51
6/22/2017,2434.5,73.51
6/23/2017,2438.3,74.1
6/26/2017,2439.07,75.1
6/27/2017,2419.38,73.51
6/28/2017,2440.69,75.3
6/29/2017,2419.7,73.31
6/30/2017,2423.41,74.1
7/3/2017,2429.01,75.3
7/5/2017,2432.54,73.9
7/6/2017,2409.75,71.51
7/7/2017,2425.18,71.71
7/10/2017,2427.43,72.11
7/11/2017,2425.53,71.91
7/12/2017,2443.25,73.51
7/13/2017,2447.83,73.51
7/14/2017,2459.27,73.9
7/17/2017,2459.14,74.5
7/18/2017,2460.61,74.3
7/19/2017,2473.83,75.7
7/20/2017,2473.45,74.9
7/21/2017,2472.54,75.5
7/24/2017,2469.91,73.9
7/25/2017,2477.13,76.25
7/26/2017,2477.83,76.1
7/27/2017,2475.42,77.09
7/28/2017,2472.1,75.3
7/31/2017,2470.3,75.1
8/1/2017,2476.35,74.9
8/2/2017,2477.57,73.51
8/3/2017,2472.16,72.71
8/4/2017,2476.83,72.91
8/7/2017,2480.91,73.9
8/8/2017,2474.92,72.85
8/9/2017,2474.02,72.06
8/10/2017,2438.21,68.86
8/11/2017,2441.32,68.66
8/14/2017,2465.84,71.26
8/15/2017,2464.61,70.46
8/16/2017,2468.11,69.66
8/17/2017,2430.01,64.94
8/18/2017,2425.55,63.94
8/21/2017,2428.37,63.15
8/22/2017,2452.51,65.74
8/23/2017,2444.04,64.74
8/24/2017,2438.97,64.94
8/25/2017,2443.05,65.14
8/28/2017,2444.24,64.07
8/29/2017,2446.3,62.95
8/30/2017,2457.59,64.94
8/31/2017,2471.65,65.74
9/1/2017,2476.55,67.53
9/5/2017,2457.85,63.94
9/6/2017,2465.54,64.94
9/7/2017,2465.1,63.75
9/8/2017,2461.43,64.34
9/11/2017,2488.11,67.13
9/12/2017,2496.48,68.33
9/13/2017,2498.37,68.66
9/14/2017,2495.62,67.86
9/15/2017,2500.23,68.66
9/18/2017,2503.87,69.52
9/19/2017,2506.65,69.38
9/20/2017,2508.24,70.97
9/21/2017,2500.6,70.38
9/22/2017,2502.22,70.78
9/25/2017,2496.66,71.37
9/26/2017,2496.84,71.77
9/27/2017,2507.04,72.96
9/28/2017,2510.06,72.96
9/29/2017,2519.36,73.76
10/2/2017,2529.12,73.76
10/3/2017,2534.58,73.76
10/4/2017,2537.74,74.55
10/5/2017,2552.07,75.35
10/6/2017,2549.33,73.96
10/9/2017,2544.73,72.17
10/10/2017,2550.64,73.56
10/11/2017,2555.24,73.56
10/12/2017,2550.93,73.36
10/13/2017,2553.17,74.35
10/16/2017,2557.64,73.36
10/17/2017,2559.36,73.96
10/18/2017,2561.26,74.16
10/19/2017,2562.1,74.35
10/20/2017,2575.21,75.75
10/23/2017,2564.98,75.35
10/24/2017,2569.13,73.56
10/25/2017,2557.15,72.76
10/26/2017,2560.4,71.17
10/27/2017,2581.07,71.57
10/30/2017,2572.83,71.17
10/31/2017,2575.26,69.58
11/1/2017,2579.36,68.99
11/2/2017,2579.85,69.18
11/3/2017,2587.84,68.79
11/6/2017,2591.13,70.58
11/7/2017,2590.64,69.38
11/8/2017,2594.38,70.38
11/9/2017,2584.62,71.23
11/10/2017,2582.3,70.63
11/13/2017,2584.84,70.83
11/14/2017,2578.87,70.04
11/15/2017,2564.62,68.45
11/16/2017,2585.64,70.83
11/17/2017,2578.85,71.03
11/20/2017,2582.14,71.03
11/21/2017,2599.03,71.43
11/22/2017,2597.08,71.23
11/24/2017,2602.42,71.23
11/27/2017,2601.42,70.44
11/28/2017,2627.04,73.36
11/29/2017,2626.07,73.96
11/30/2017,2647.58,76.54
12/1/2017,2642.22,76.94
12/4/2017,2639.44,79.13
12/5/2017,2629.57,77.53
12/6/2017,2629.27,76.74
12/7/2017,2636.98,76.74
12/8/2017,2651.5,78.13
12/11/2017,2659.99,78.73
12/12/2017,2664.11,79.13
12/13/2017,2662.85,78.93
12/14/2017,2652.01,77.14
12/15/2017,2675.81,79.72
12/18/2017,2690.16,80.68
12/19/2017,2681.47,78.24
12/20/2017,2679.25,77.6
12/21/2017,2684.57,78.6
12/22/2017,2683.34,78
12/26/2017,2680.5,78
12/27/2017,2682.62,78.4
12/28/2017,2687.54,79.04
12/29/2017,2673.61,78.6
1/2/2018,2695.81,78.96
1/3/2018,2713.06,79.6
1/4/2018,2723.99,79.2
1/5/2018,2743.15,79.8
1/8/2018,2747.71,81
1/9/2018,2751.29,79.4
1/10/2018,2748.23,78.4
1/11/2018,2767.56,79.8
1/12/2018,2786.24,80.2
1/16/2018,2776.42,79.4
1/17/2018,2802.56,80.6
1/18/2018,2798.03,79.6
1/19/2018,2810.3,79.8
1/22/2018,2832.97,82
1/23/2018,2839.13,82.6
1/24/2018,2837.54,82.8
1/25/2018,2839.25,83
1/26/2018,2872.87,83
1/29/2018,2853.53,81.4
1/30/2018,2822.43,80
1/31/2018,2823.81,80.8
2/1/2018,2821.98,79.6
2/2/2018,2762.13,76.2
2/5/2018,2648.94,64.8
2/6/2018,2695.14,69
2/7/2018,2681.66,67.2
2/8/2018,2581,55.6
2/9/2018,2619.55,60.6
2/12/2018,2656,64
2/13/2018,2662.94,65.4
2/14/2018,2698.63,68
2/15/2018,2731.2,71.4
2/16/2018,2732.22,71.2
2/20/2018,2716.26,70.2
2/21/2018,2701.33,67.6
2/22/2018,2703.96,67.8
2/23/2018,2747.3,70.2
2/26/2018,2779.6,72.4
2/27/2018,2744.28,69.4
2/28/2018,2713.83,66.4
3/1/2018,2677.67,63
3/2/2018,2691.25,64
3/5/2018,2720.94,66
3/6/2018,2728.12,68.2
3/7/2018,2726.8,67.4
3/8/2018,2738.97,68.2
3/9/2018,2786.57,70.8
3/12/2018,2783.02,70.8
3/13/2018,2765.31,69.2
3/14/2018,2749.48,69
3/15/2018,2747.33,67.6
3/16/2018,2752.01,68.6
3/19/2018,2712.92,66.4
3/20/2018,2716.94,65.6
3/21/2018,2711.93,64.4
3/22/2018,2643.69,59.4
3/23/2018,2588.26,52
3/26/2018,2658.55,59.8
3/27/2018,2612.62,55.8
3/28/2018,2605,56
3/29/2018,2640.87,59.4
4/2/2018,2581.88,50.4
4/3/2018,2614.45,55.4
4/4/2018,2644.69,60.2
4/5/2018,2662.84,61.8
4/6/2018,2604.47,53
4/9/2018,2613.16,53.6
4/10/2018,2656.87,59.2
4/11/2018,2642.19,56.8
4/12/2018,2663.99,58.8
4/13/2018,2656.3,57.4
4/16/2018,2677.84,62.2
4/17/2018,2706.39,64.2
4/18/2018,2708.64,64.2
4/19/2018,2693.13,60.2
4/20/2018,2670.14,58.4
4/23/2018,2670.29,60
4/24/2018,2634.56,55.2
4/25/2018,2639.4,55.8
4/26/2018,2666.94,59
4/27/2018,2669.91,59.6
4/30/2018,2648.05,55
5/1/2018,2654.8,55.8
5/2/2018,2635.67,52
5/3/2018,2629.73,50.9
5/4/2018,2663.42,55.89
5/7/2018,2672.63,55.89
5/8/2018,2671.92,55.29
5/9/2018,2697.79,58.08
5/10/2018,2723.07,62.48
5/11/2018,2727.72,63.07
5/14/2018,2730.13,62.48
5/15/2018,2711.45,59.88
5/16/2018,2722.46,60.48
5/17/2018,2720.13,60.68
5/18/2018,2712.97,60.68
5/21/2018,2733.01,62.87
5/22/2018,2724.44,61.68
5/23/2018,2733.29,61.68
5/24/2018,2727.76,61.28
5/25/2018,2721.33,60.88
5/29/2018,2689.86,55.69
5/30/2018,2724.01,61.28
5/31/2018,2705.27,56.69
6/1/2018,2734.62,59.08
6/4/2018,2746.87,60.28
6/5/2018,2748.8,60.48
6/6/2018,2772.35,63.67
6/7/2018,2770.37,64.27
6/8/2018,2779.03,65.27
6/11/2018,2782,66.67
6/12/2018,2786.85,67.07
6/13/2018,2775.63,63.67
6/14/2018,2782.49,64.47
6/15/2018,2779.66,64.4
6/18/2018,2773.75,64.6
6/19/2018,2762.59,60.8
6/20/2018,2767.32,61.88
6/21/2018,2749.76,60.48
6/22/2018,2754.88,61.28
6/25/2018,2717.07,58.88
6/26/2018,2723.06,58.08
6/27/2018,2699.63,56.09
6/28/2018,2716.31,55.89
6/29/2018,2718.37,55.49
7/2/2018,2726.71,56.89
7/3/2018,2713.22,56.09
7/5/2018,2736.61,58.68
7/6/2018,2759.82,60.88
7/9/2018,2784.17,63.07
7/10/2018,2793.84,64.67
7/11/2018,2774.02,62.08
7/12/2018,2798.29,63.67
7/13/2018,2801.31,62.67
7/16/2018,2798.43,62.67
7/17/2018,2809.55,63.27
7/18/2018,2815.62,64.27
7/19/2018,2804.49,65.47
7/20/2018,2801.83,62.67
7/23/2018,2806.98,61.68
7/24/2018,2820.4,62.87
7/25/2018,2846.07,65.07
7/26/2018,2837.44,66.27
7/27/2018,2818.82,65.47
7/30/2018,2802.6,64.47
7/31/2018,2816.29,67.66
8/1/2018,2813.36,66.27
8/2/2018,2827.22,66.27
8/3/2018,2840.35,69.06
8/6/2018,2850.4,68.86
8/7/2018,2858.45,68.06
8/8/2018,2857.7,68.26
8/9/2018,2853.58,67.86
8/10/2018,2833.28,66.07
8/13/2018,2821.93,63.87
8/14/2018,2839.96,66.47
8/15/2018,2818.37,64.47
8/16/2018,2840.69,66.87
8/17/2018,2850.13,67.27
8/20/2018,2857.05,67.86
8/21/2018,2862.96,68.06
8/22/2018,2861.82,67.86
8/23/2018,2856.98,66.67
8/24/2018,2874.69,67.66
8/27/2018,2896.74,70.06
8/28/2018,2897.52,70.26
8/29/2018,2914.04,71.66
8/30/2018,2901.13,68.46
8/31/2018,2901.52,68.86
9/4/2018,2896.72,67.47
9/5/2018,2888.6,67.66
9/6/2018,2878.05,66.27
9/7/2018,2871.68,65.6
9/10/2018,2877.13,64.8
9/11/2018,2887.89,65.4
9/12/2018,2888.92,64.93
9/13/2018,2904.18,65.53
9/14/2018,2904.98,66.53
9/17/2018,2888.8,66
9/18/2018,2904.31,68.8
9/19/2018,2907.95,70.6
9/20/2018,2930.75,72.8
9/21/2018,2929.67,73
9/24/2018,2919.37,69.8
9/25/2018,2915.56,67.4
9/26/2018,2905.97,64.8
9/27/2018,2914,64.6
9/28/2018,2913.98,66
10/1/2018,2924.59,66
10/2/2018,2923.43,65.4
10/3/2018,2925.51,66.67
10/4/2018,2901.61,65.54
10/5/2018,2885.57,63.62
10/8/2018,2884.43,65.81
10/9/2018,2880.34,63.42
10/10/2018,2785.68,51.29
10/11/2018,2728.37,40.56
10/12/2018,2767.13,45.53
10/15/2018,2750.79,45.33
10/16/2018,2809.92,52.58
10/17/2018,2809.21,51.98
10/18/2018,2768.78,47.22
10/19/2018,2767.78,46.83
10/22/2018,2755.88,45.04
10/23/2018,2740.69,43.65
10/24/2018,2656.1,34.13
10/25/2018,2705.57,38.29
10/26/2018,2658.69,34.52
10/29/2018,2641.25,34.13
10/30/2018,2682.63,40.48
10/31/2018,2711.74,42.06
11/1/2018,2740.37,44.64
11/2/2018,2723.06,44.64
11/5/2018,2738.31,45.73
11/6/2018,2755.45,47.42
11/7/2018,2813.89,52.58
11/8/2018,2806.83,52.98
11/9/2018,2781.01,50.99
11/12/2018,2726.22,45.44
11/13/2018,2722.18,45.13
11/14/2018,2701.58,42.54
11/15/2018,2730.2,45.92
11/16/2018,2736.27,47.32
11/19/2018,2690.73,43.14
11/20/2018,2641.89,36.38
11/21/2018,2649.93,36.78
11/23/2018,2632.56,37.57
11/26/2018,2673.45,41.95
11/27/2018,2682.17,40.64
11/28/2018,2743.79,48.8
11/29/2018,2737.76,47.9
11/30/2018,2760.17,49.3
12/3/2018,2790.37,52.09
12/4/2018,2700.06,42.15
12/6/2018,2695.95,40.36
12/7/2018,2633.08,35.39
12/10/2018,2637.72,36.58
12/11/2018,2636.78,36.45
12/12/2018,2651.07,37.25
12/13/2018,2650.54,36.45
12/14/2018,2599.95,32.27
12/17/2018,2545.94,25.9
12/18/2018,2546.16,26.49
12/19/2018,2506.96,22.31
12/20/2018,2467.42,17.53
12/21/2018,2416.62,15.77
12/24/2018,2351.1,10.76
12/26/2018,2467.7,17.13
12/27/2018,2488.83,20.32
12/28/2018,2485.74,20.12
12/31/2018,2506.85,21.76
1/2/2019,2510.03,18.16
1/3/2019,2447.89,13.97
1/4/2019,2531.94,21.56
1/7/2019,2549.69,23.95
1/8/2019,2574.41,27.54
1/9/2019,2584.96,28.54
1/10/2019,2596.64,30.34
1/11/2019,2596.26,30.54
1/14/2019,2582.61,29.34
1/15/2019,2610.3,31.94
1/16/2019,2616.1,32.34
1/17/2019,2635.96,35.13
1/18/2019,2670.71,40.32
1/22/2019,2632.9,35.53
1/23/2019,2638.7,35.73
1/24/2019,2642.33,36.93
1/25/2019,2664.76,41.32
1/28/2019,2643.85,38.52
1/29/2019,2640,39.52
1/30/2019,2681.05,43.91
1/31/2019,2704.1,46.11
2/1/2019,2706.53,47.7
2/4/2019,2724.87,50.7
2/5/2019,2737.7,53.09
2/6/2019,2731.61,53.89
2/7/2019,2706.05,49.3
2/8/2019,2707.88,50.1
2/11/2019,2709.8,51.1
2/12/2019,2744.73,56.09
2/13/2019,2753.03,58.6
2/14/2019,2745.73,56.6
2/15/2019,2775.6,61.08
2/19/2019,2779.76,61.68
2/20/2019,2784.7,64.47
2/21/2019,2774.88,62.08
2/22/2019,2792.67,63.47
2/25/2019,2796.11,63.07
2/26/2019,2793.9,61.88
2/27/2019,2792.38,61.88
2/28/2019,2784.49,61.08
3/1/2019,2803.69,61.88
3/4/2019,2792.81,61.28
3/5/2019,2789.65,60.68
3/6/2019,2771.45,57.49
3/7/2019,2748.93,54.89
3/8/2019,2743.07,54.29
3/11/2019,2783.3,58.28
3/12/2019,2791.52,57.68
3/13/2019,2810.92,58.48
3/14/2019,2808.48,57.68
3/15/2019,2822.48,58.68
3/18/2019,2832.94,61.88
3/19/2019,2832.57,58.88
3/20/2019,2824.23,55.51
3/21/2019,2854.88,60.12
3/22/2019,2800.71,53.91
3/25/2019,2798.36,54.51
3/26/2019,2818.46,56.11
3/27/2019,2805.37,56.31
3/28/2019,2815.44,56.91
3/29/2019,2834.4,58.72
4/1/2019,2867.19,65.33
4/2/2019,2867.24,65.93
4/3/2019,2873.4,66.67
4/4/2019,2879.39,68.27
4/5/2019,2892.74,70.68
4/8/2019,2895.77,70.88
4/9/2019,2878.2,67.87
4/10/2019,2888.21,70.08
4/11/2019,2888.32,71.08
4/12/2019,2907.41,73.49
4/15/2019,2905.58,71.69
4/16/2019,2907.06,72.69
4/17/2019,2900.45,71.08
4/18/2019,2905.03,73.29
4/22/2019,2907.97,72.09
4/23/2019,2933.68,74.7
4/24/2019,2927.25,74.5
4/25/2019,2926.17,72.89
4/26/2019,2939.88,72.29
4/29/2019,2943.03,73.29
4/30/2019,2945.83,73.69
5/1/2019,2923.73,70.88
5/2/2019,2917.52,69.48
5/3/2019,2945.64,71.29
5/6/2019,2932.47,70.68
5/7/2019,2884.05,68.07
5/8/2019,2879.42,66.67
5/9/2019,2870.72,66.27
5/10/2019,2881.4,65.66
5/13/2019,2811.87,57.63
5/14/2019,2834.41,60.64
5/15/2019,2850.96,60.44
5/16/2019,2876.32,61.85
5/17/2019,2859.53,60.04
5/20/2019,2840.23,59.24
5/21/2019,2864.36,62.45
5/22/2019,2856.27,60.84
5/23/2019,2822.24,57.63
5/24/2019,2826.06,58.43
5/28/2019,2802.39,55.42
5/29/2019,2783.02,53.41
5/30/2019,2788.86,54.42
5/31/2019,2752.06,50.4
6/3/2019,2744.45,53.01
6/4/2019,2803.27,59.15
6/5/2019,2826.15,61.77
6/6/2019,2843.49,61.37
6/7/2019,2873.34,63.58
6/10/2019,2886.73,63.58
6/11/2019,2885.72,63.31
6/12/2019,2879.84,62.3
6/13/2019,2891.64,64.11
6/14/2019,2886.98,62.9
6/17/2019,2889.67,63.91
6/18/2019,2917.75,67.54
6/19/2019,2926.46,68.35
6/20/2019,2954.18,71.17
6/21/2019,2950.46,70.36
6/24/2019,2945.35,70.56
6/25/2019,2917.38,69.42
6/26/2019,2913.78,68.01
6/27/2019,2924.92,70.42
6/28/2019,2941.76,73.44
7/1/2019,2964.33,74.65
7/2/2019,2973.01,73.84
7/3/2019,2995.82,75.86
7/5/2019,2990.41,75.45
7/8/2019,2975.95,74.04
7/9/2019,2979.63,73.79
7/10/2019,2993.07,74.4
7/11/2019,2999.91,74.19
7/12/2019,3013.77,76.21
7/15/2019,3014.3,75.25
7/16/2019,3004.04,76.46
7/17/2019,2984.42,74.04
7/18/2019,2995.11,74.45
7/19/2019,2976.61,73.64
7/22/2019,2985.03,72.84
7/23/2019,3005.47,76.06
7/24/2019,3019.56,78.07
7/25/2019,3003.67,75.86
7/26/2019,3025.86,76.26
7/29/2019,3020.97,74.45
7/30/2019,3013.18,74.45
